CustomDataset: images.shape=(18900, 3, 128, 128), labels.shape=(18900,)
Epoch 141/500, Train Loss: -6.0695, Val Loss: -5.8801, Recon MSE: 0.000939, Probing Acc: 0.0825, Score: 0.011382
Epoch 142/500, Train Loss: -6.0819, Val Loss: -5.7243, Recon MSE: 0.000926, Probing Acc: 0.0646, Score: 0.014351
Epoch 143/500, Train Loss: -6.0821, Val Loss: -5.8574, Recon MSE: 0.000898, Probing Acc: 0.0738, Score: 0.012163
Epoch 144/500, Train Loss: -6.0812, Val Loss: -5.6729, Recon MSE: 0.000907, Probing Acc: 0.0696, Score: 0.013038
Epoch 145/500, Train Loss: -6.0876, Val Loss: -5.6926, Recon MSE: 0.000899, Probing Acc: 0.0722, Score: 0.012449
Epoch 146/500, Train Loss: -6.0938, Val Loss: -5.7974, Recon MSE: 0.000913, Probing Acc: 0.0770, Score: 0.011862
Epoch 147/500, Train Loss: -6.0871, Val Loss: -5.7782, Recon MSE: 0.000891, Probing Acc: 0.0693, Score: 0.012862
Epoch 148/500, Train Loss: -6.0970, Val Loss: -5.7842, Recon MSE: 0.000926, Probing Acc: 0.0775, Score: 0.011948
Epoch 149/500, Train Loss: -6.0955, Val Loss: -5.7377, Recon MSE: 0.000900, Probing Acc: 0.0717, Score: 0.012560
Epoch 150/500, Train Loss: -6.1027, Val Loss: -5.9647, Recon MSE: 0.000891, Probing Acc: 0.0704, Score: 0.012662
Epoch 151/500, Train Loss: -6.1041, Val Loss: -5.7269, Recon MSE: 0.000931, Probing Acc: 0.0733, Score: 0.012699
Epoch 152/500, Train Loss: -6.1072, Val Loss: -5.5702, Recon MSE: 0.000915, Probing Acc: 0.0706, Score: 0.012954
Epoch 153/500, Train Loss: -6.1009, Val Loss: -5.5728, Recon MSE: 0.000973, Probing Acc: 0.0651, Score: 0.014945
Epoch 154/500, Train Loss: -6.1044, Val Loss: -5.9201, Recon MSE: 0.000905, Probing Acc: 0.0762, Score: 0.011874
Epoch 155/500, Train Loss: -6.1109, Val Loss: -5.4922, Recon MSE: 0.000956, Probing Acc: 0.0751, Score: 0.012722
Epoch 156/500, Train Loss: -6.1129, Val Loss: -5.4958, Recon MSE: 0.000929, Probing Acc: 0.0714, Score: 0.013011
Epoch 157/500, Train Loss: -6.1154, Val Loss: -5.6677, Recon MSE: 0.000899, Probing Acc: 0.0730, Score: 0.012315
Epoch 158/500, Train Loss: -6.1213, Val Loss: -5.7349, Recon MSE: 0.000886, Probing Acc: 0.0749, Score: 0.011837
Epoch 159/500, Train Loss: -6.1259, Val Loss: -5.8110, Recon MSE: 0.000897, Probing Acc: 0.0847, Score: 0.010596
Epoch 160/500, Train Loss: -6.1194, Val Loss: -5.7415, Recon MSE: 0.000898, Probing Acc: 0.0823, Score: 0.010911
Epoch 161/500, Train Loss: -6.1299, Val Loss: -5.8554, Recon MSE: 0.000904, Probing Acc: 0.0741, Score: 0.012198
Epoch 162/500, Train Loss: -6.1271, Val Loss: -5.9277, Recon MSE: 0.000904, Probing Acc: 0.0817, Score: 0.011063
Epoch 163/500, Train Loss: -6.1316, Val Loss: -5.8481, Recon MSE: 0.000898, Probing Acc: 0.0786, Score: 0.011435
Epoch 164/500, Train Loss: -6.1366, Val Loss: -5.8110, Recon MSE: 0.000888, Probing Acc: 0.0669, Score: 0.013264
Epoch 165/500, Train Loss: -6.1400, Val Loss: -5.7276, Recon MSE: 0.000859, Probing Acc: 0.0735, Score: 0.011683
Epoch 166/500, Train Loss: -6.1349, Val Loss: -5.8833, Recon MSE: 0.000906, Probing Acc: 0.0796, Score: 0.011375
Epoch 167/500, Train Loss: -6.1429, Val Loss: -5.7282, Recon MSE: 0.000861, Probing Acc: 0.0780, Score: 0.011030
Epoch 168/500, Train Loss: -6.1442, Val Loss: -5.9566, Recon MSE: 0.000866, Probing Acc: 0.0823, Score: 0.010528
Epoch 169/500, Train Loss: -6.1496, Val Loss: -5.7785, Recon MSE: 0.000874, Probing Acc: 0.0693, Score: 0.012604
Epoch 170/500, Train Loss: -6.1444, Val Loss: -5.8009, Recon MSE: 0.000856, Probing Acc: 0.0778, Score: 0.011010
Epoch 171/500, Train Loss: -6.1430, Val Loss: -5.8700, Recon MSE: 0.000890, Probing Acc: 0.0757, Score: 0.011767
Epoch 172/500, Train Loss: -6.1523, Val Loss: -5.6302, Recon MSE: 0.000866, Probing Acc: 0.0667, Score: 0.012993
Epoch 173/500, Train Loss: -6.1542, Val Loss: -5.7210, Recon MSE: 0.000866, Probing Acc: 0.0783, Score: 0.011062
Epoch 174/500, Train Loss: -6.1518, Val Loss: -5.9750, Recon MSE: 0.000860, Probing Acc: 0.0775, Score: 0.011100
Epoch 175/500, Train Loss: -6.1564, Val Loss: -5.9050, Recon MSE: 0.000849, Probing Acc: 0.0772, Score: 0.010996
Epoch 176/500, Train Loss: -6.1562, Val Loss: -6.0050, Recon MSE: 0.000870, Probing Acc: 0.0794, Score: 0.010958
Epoch 177/500, Train Loss: -6.1586, Val Loss: -5.9600, Recon MSE: 0.000849, Probing Acc: 0.0804, Score: 0.010562
Epoch 178/500, Train Loss: -6.1618, Val Loss: -5.1846, Recon MSE: 0.000993, Probing Acc: 0.0635, Score: 0.015633
Epoch 179/500, Train Loss: -6.1643, Val Loss: -5.8745, Recon MSE: 0.000850, Probing Acc: 0.0804, Score: 0.010570
Epoch 180/500, Train Loss: -6.1672, Val Loss: -5.9491, Recon MSE: 0.000891, Probing Acc: 0.0762, Score: 0.011689
Epoch 181/500, Train Loss: -6.1704, Val Loss: -5.9115, Recon MSE: 0.000841, Probing Acc: 0.0788, Score: 0.010671
Epoch 182/500, Train Loss: -6.1685, Val Loss: -5.9050, Recon MSE: 0.000874, Probing Acc: 0.0799, Score: 0.010934
Epoch 183/500, Train Loss: -6.1700, Val Loss: -5.9024, Recon MSE: 0.000839, Probing Acc: 0.0836, Score: 0.010034
Epoch 184/500, Train Loss: -6.1759, Val Loss: -5.8712, Recon MSE: 0.000838, Probing Acc: 0.0770, Score: 0.010890
Epoch 185/500, Train Loss: -6.1803, Val Loss: -5.7910, Recon MSE: 0.000848, Probing Acc: 0.0791, Score: 0.010717
Epoch 186/500, Train Loss: -6.1759, Val Loss: -5.7764, Recon MSE: 0.000891, Probing Acc: 0.0825, Score: 0.010789
Epoch 187/500, Train Loss: -6.1721, Val Loss: -5.9232, Recon MSE: 0.000859, Probing Acc: 0.0712, Score: 0.012064
Epoch 188/500, Train Loss: -6.1779, Val Loss: -5.8900, Recon MSE: 0.000844, Probing Acc: 0.0812, Score: 0.010396
Epoch 189/500, Train Loss: -6.1865, Val Loss: -6.0233, Recon MSE: 0.000838, Probing Acc: 0.0778, Score: 0.010773
Epoch 190/500, Train Loss: -6.1844, Val Loss: -5.9031, Recon MSE: 0.000842, Probing Acc: 0.0825, Score: 0.010202
Epoch 191/500, Train Loss: -6.1855, Val Loss: -5.7733, Recon MSE: 0.000834, Probing Acc: 0.0786, Score: 0.010615
Epoch 192/500, Train Loss: -6.1900, Val Loss: -6.0482, Recon MSE: 0.000825, Probing Acc: 0.0849, Score: 0.009716
Epoch 193/500, Train Loss: -6.1876, Val Loss: -5.9893, Recon MSE: 0.000852, Probing Acc: 0.0810, Score: 0.010525
Epoch 194/500, Train Loss: -6.1935, Val Loss: -5.9985, Recon MSE: 0.000839, Probing Acc: 0.0812, Score: 0.010331
Epoch 195/500, Train Loss: -6.1956, Val Loss: -5.9253, Recon MSE: 0.000829, Probing Acc: 0.0780, Score: 0.010621
Epoch 196/500, Train Loss: -6.1932, Val Loss: -6.0931, Recon MSE: 0.000834, Probing Acc: 0.0833, Score: 0.010004
Epoch 197/500, Train Loss: -6.1988, Val Loss: -6.0499, Recon MSE: 0.000837, Probing Acc: 0.0823, Score: 0.010176
Epoch 198/500, Train Loss: -6.2033, Val Loss: -6.0110, Recon MSE: 0.000840, Probing Acc: 0.0913, Score: 0.009208
Epoch 199/500, Train Loss: -6.2012, Val Loss: -5.8999, Recon MSE: 0.000832, Probing Acc: 0.0802, Score: 0.010381
Epoch 200/500, Train Loss: -6.2037, Val Loss: -6.0329, Recon MSE: 0.000835, Probing Acc: 0.0810, Score: 0.010310
Epoch 201/500, Train Loss: -6.2065, Val Loss: -5.9862, Recon MSE: 0.000886, Probing Acc: 0.0828, Score: 0.010696
